Fair Market Rent,Price,County,State
853,853,Aleutians East Borough, AK
1210,1210,Aleutians West Census Area, AK
1407,1407,Bethel Census Area, AK
859,859,Bristol Bay Borough, AK
1111,1111,Denali Borough, AK
1047,1047,Dillingham Census Area, AK
756,756,Haines Borough, AK
1124,1124,Juneau City and Borough, AK
817,817,Kenai Peninsula Borough, AK
1027,1027,Ketchikan Gateway Borough, AK
1115,1115,Kodiak Island Borough, AK
654,654,Lake and Peninsula Borough, AK
1259,1259,Nome Census Area, AK
1077,1077,North Slope Borough, AK
1122,1122,Northwest Arctic Borough, AK
862,862,Petersburg Census Area, AK
771,771,Prince of Wales-Hyder Census Area, AK
1008,1008,Sitka City and Borough, AK
1063,1063,Skagway Municipality, AK
992,992,Southeast Fairbanks Census Area, AK
983,983,Valdez-Cordova Census Area, AK
690,690,Wrangell City and Borough, AK
882,882,Yakutat City and Borough, AK
691,691,Yukon-Koyukuk Census Area, AK
860,860,Hoonah-Angoon Census Area, AK
926,926,Anchorage, AK HUD Metro FMR Area
775,775,Matanuska-Susitna Borough, AK HUD Metro FMR Area
987,987,Fairbanks, AK MSA
492,492,DeKalb County, AL
537,537,Escambia County, AL
556,556,Fayette County, AL
539,539,Franklin County, AL
556,556,Monroe County, AL
576,576,Pike County, AL
556,556,Marengo County, AL
481,481,Marion County, AL
506,506,Marshall County, AL
556,556,Randolph County, AL
492,492,Barbour County, AL
487,487,Wilcox County, AL
481,481,Winston County, AL
481,481,Cleburne County, AL
551,551,Coffee County, AL
556,556,Perry County, AL
603,603,Sumter County, AL
512,512,Talladega County, AL
532,532,Conecuh County, AL
523,523,Coosa County, AL
499,499,Covington County, AL
481,481,Crenshaw County, AL
541,541,Cullman County, AL
526,526,Dale County, AL
498,498,Dallas County, AL
556,556,Greene County, AL
574,574,Jackson County, AL
545,545,Lamar County, AL
504,504,Macon County, AL
549,549,Bullock County, AL
556,556,Butler County, AL
620,620,Chambers County, AL
481,481,Cherokee County, AL
481,481,Choctaw County, AL
493,493,Clarke County, AL
556,556,Clay County, AL
504,504,Tallapoosa County, AL
504,504,Washington County, AL
871,871,Birmingham-Hoover, AL HUD Metro FMR Area
625,625,Chilton County, AL HUD Metro FMR Area
